review_id,year,period,trip_type,entity_name,entity_type,quote,rating
736018747,2020,covid_onset,friends,fun,general_sentiment,such a fun,5
736018747,2020,covid_onset,friends,close to soul,spiritual_emotion,close to soul,5
736018747,2020,covid_onset,friends,different,general_sentiment,everything was different,5
736018747,2020,covid_onset,friends,Airport,facility_service,few minutes from the Airport,5
571167388,2018,growth_period,family,incarnation,ritual,incarnation is taken place,4
571167388,2018,growth_period,family,pleasant atmosphere,spiritual_emotion,feel very pleasant atmosphere,4
571167388,2018,growth_period,family,narayanhiti durbar,scenic_spot,visited narayanhiti durbar,4
571167388,2018,growth_period,family,closed on Tuesday & Wednesday,problem,closed on Tuesday & Wednesday,4
267547428,2015,growth_period,friends,surroundings,scenic_spot,how lovely the surroundings were,5
267547428,2015,growth_period,friends,river,sacred_space,a river flowing at the back,5
267547428,2015,growth_period,friends,cremation,ritual,cremation takes place,5
267547428,2015,growth_period,friends,spiritually blessed Sadhus,religious_actor,spiritually blessed Sadhus,5
267547428,2015,growth_period,friends,security officer,facility_service,screamed at by a security officer,5
267547428,2015,growth_period,friends,rude tone,problem,very very rude tone,5
267547428,2015,growth_period,friends,sense of awe,spiritual_emotion,amazed at how lovely the surroundings were,5
267547428,2015,growth_period,friends,no photography zones,cultural_rule,Please do not take photos,5
434823776,2016,growth_period,family,vibes,spiritual_emotion,certain vibes which you feel,5
434823776,2016,growth_period,family,offer prayers,ritual,offer prayers before Pashupatinath,5
207219759,2014,early_period,family,calm and peaceful,spiritual_emotion,calm and peaceful,5
207219759,2014,early_period,family,happy and blessed,spiritual_emotion,happy and blessed,5
207219759,2014,early_period,family,Sanjiv,facility_service,Thank you Sanjiv for taking me here,5
129251560,2012,early_period,friends,cremations,ritual,see cremations up so close,4
129251560,2012,early_period,friends,cycle of life,spiritual_emotion,opens you up to the cycle of life,4
129251560,2012,early_period,friends,smoke,problem,hard time breathing due to the smoke,4
129251560,2012,early_period,friends,home for the elderly,facility_service,home for the elderly that is worth walking through,4
635306302,2018,growth_period,couples,worshippers making a pilgrimage,religious_actor,worshippers making a pilgrimage,5
635306302,2018,growth_period,couples,holy men,religious_actor,Curious looking holy men,5
635306302,2018,growth_period,couples,monkeys,scenic_spot,Monkeys wandering around,5
635306302,2018,growth_period,couples,camera toting tourists,problem,camera toting tourists,5
715304647,2019,pre_covid_peak,unknown,architecture,scenic_spot,architecture is just amazing,5
715304647,2019,pre_covid_peak,unknown,history,scenic_spot,history very interesting,5
715304647,2019,pre_covid_peak,unknown,restaurants,facility_service,excellent restaurants,5
567255007,2018,growth_period,family,devotees of Lord Shiva,religious_actor,devotees of Lord Shiva,4
567255007,2018,growth_period,family,crowds,problem,crowds are huge and frenzied,4
567255007,2018,growth_period,family,deity,sacred_object,glimpse the deity,4
567255007,2018,growth_period,family,architecture,scenic_spot,architecture is unique,4
567255007,2018,growth_period,family,small temples,scenic_spot,many small temples for different gods,4
472775895,2017,growth_period,family,ancient design of art,scenic_spot,ancient design of art,5
