review_id,text_clean,rating,sentiment_class,year,trip_type,reviewer_type,word_count,has_sacred_content,period
20876315,"Pashupatinath is well worth the effort. We had hired a guide who was walking around the entrance who spoke excellent english and was very knowledgeable. Well worth it but check em out before you commit. This temple is where the Hindus come to be ""released"" for lack of better words. The dead are burned here and their ashes tossed in the river. There is also a hospice there where the dying go as it's bad form to die in your home. I'd suggest reading up on the Hindu religion a bit before as it would make more sense. I wish I had. There are monkeys, holy men, shrines, deities, the whole works here.",5,positive,2008,unknown,likely_tourist,113,True,early_period
28684194,"We got to visit this temple on our first day--and were welcomed by women in red, gathered around a fire, celebrating. It was absolutely fascinating. Much further in, our guide pointed out the river, rather dried up due to lack of rain. Further down...a cremation was going on. Quite a surprise, but still this being a holy place--we saw all sorts of human endeavors--from the celebration of life, to the release into the next world. I don't think it's for everybody, especially the squemish--but hey, it's Nepal. And at the least, it makes for incredible stories.",4,positive,2009,unknown,likely_tourist,96,True,early_period
48109222,"Very interesting place, this is the Varanasi equal in Nepal - everybody from sadhus to tourist peacefully together. Just remember to be respectful, since there are crematations and funerals going on all the time. Not recommended for young children.",5,positive,2009,unknown,likely_tourist,39,True,early_period
65962714,"It was our first day in Nepal, we hired a gide who took us to the pashupatinath temple. The first sight I remember was a body of a dead person carried by his family. I kept walking by a bridge and saw three bodies in fire. It was amazing to see all that people praying and burning their deads. And there was more, the other side of the river, that runs inside the temple, was habitated by Sadus and many, many monkeys. I didn't expect to find so many diferent and socking things in that place. If you are in Nepal, must go there.",5,positive,2010,unknown,likely_tourist,104,True,early_period
79612722,"You get the feeling that you should not be here from the moment you arrive, what is worse is when you take out your camera in some other worldly fascination to capture the scene and show everyone at home what you witnessed. The Hindu priests (called Bhattas) can be seen walking around the complex, do not (unless you want to at lease) make eye contact or take their picture without permission, they do not take kindly to this. If you want a picture simply offer them some Rupees and they will be more than happy to pose. Probably my highlight from Kathmandu, a must see in my opinion to all visitors of the city.",4,positive,2010,unknown,likely_tourist,114,True,early_period
95540167,"On the date we visited Pashupatinath, we found hundred of people over there... and we just noticed many policemen around. Our guide told us that a high-ranked police official was under cremation. We observed the whole process, which was both shocking and interesting. It was the first time seeing this in a short distance. There are a lot of Hindus priest. They asked for the photo taking but I did not as I did not know if they would ask for $ after photo. Are they real priest or just some way to get tourist money. Who knows? Apart from these, as we are not hindu, we just can't see much. But, the entrance fee is Rs 500. It is pretty high when compared with other temples in Kathmandu.",4,positive,2011,unknown,likely_tourist,129,True,early_period
103992751,"The day we arrived as we crossed the river our host pointed out the fact that creamations were taking place. It was definitely not something I had expected to hear or much less be able to observe while in Nepal. But of everything we saw, this was probably the most intriguing. It very difficult to put it into words but it overwhelms your senses. Even emotionally, it's very overwhelming-if you're planning to visit Kathmandu, I would definitely recommend you visit this site-even spring for the few rupees to have a guide explain everything as you go through!",5,positive,2011,unknown,likely_tourist,97,False,early_period
115724266,Really interesting. People throw coins and statues in with loved ones. The kids sift through water full of human ashes for items to sell. No one minds. which i thought would be disrespectful. Go down to where they are. Tell will pay per item. Dont pay at end or you will get kids swarming you.,5,positive,2011,unknown,likely_tourist,55,False,early_period
116118258,"since 2008, during three trips to nepal, i've visited pashupatinath on many occasions, the most recent being march 2011, the day before the birthday of 'shiva.' if you enjoy photography...without doubt, this is your place. one could spend hours here, seeing the cycle of life take place right in front of you. hindu belief is that as soon as possible after death, the physlcal body should be burned, so that the spirit may be freed. this ritual goes on around the clock here. families gather to say goodbye to the deceased, while the body is prepared for cremation...part of this may include many family members taking photos of the deceased with cell phone cameras... during this time, a priest from the temple prepares a funeral pyre on the other side of the complex. the body is wrapped in cloth, carried to the pyre, and then around it three times. often, foods are left near the body to accompany the deceased on their journey. family often have to fight-off pesky monkeys, who want their share of the fruit. the eldest son, often dressed in white, the color of mourning, will light the fire...and the family sits peacefully, while the body is consumed. whatever is left, is swept into the river, where young boys then plunge in to recover anything that could be sold for a few rupees. there is nothing gross or gruesome about this...it's just death, another part of life... as it's dealt with by another culture. in fact, it's just another page in your book of education. if you conduct yourself with respect, you may take photos from across the river. unlike in veranasi, india...you're not beseiged for unreasonable sums of money. a telephoto lens of reasonable length will get you as close as you'd want to get. it seems as though most are here to pay respect to the dead, and to pray, rather than to scam tourists... in veranasi...we were asked for 1,000 inr ($25usd), for one photo...better to come to pashupatinath. also in the area, are 'sadhus' or hindu holy men...some of them are real characters, and very worthy of your photographic efforts. they'll expect money...so you should go to pashupatinath with lots of small bills...20 and 50 rupees...for this purpose. see the attached photos. if you visit from year to year...you'll see the same guys... this year i brought same photo prints...they were fascinated. there are guides available near the entrance on the airport road...i've never hired one, as i always move about with nepali friends. either can help you run the gauntlet of semi-agressive vendors near the entrance. the entry fee is modest...whatever it is...it's well worth it.",5,positive,2011,friends,likely_tourist,444,True,early_period
116614922,this place is a must see for all tourists. You'll probably spend a couple of hours here. Be smart in using your camera... Dont pay more then Rs. 250 for a taxi from Thamel.,4,positive,2011,friends,likely_tourist,34,False,early_period
117358909,This place is so interesting as it is where they do the cremations. Going with a guide is not a bad idea since they can explain what is going on. Plan on staying there a while so you can see the ceremonies (2 hours or so).,5,positive,2011,solo,mixed,46,True,early_period
117822144,"One should visit the Pashupatinath Temple while in Kathmandu. The temple is near the airport but once you take the lane towards the temple, its very very quiet. You can feel the calm and the energy surrounding the temple... Camera's, mobiles and leather products are not allowd inside the temple-so make sure you dont carry it-there is a private shop just outside the temple where you can rent a locker for the visit duration.... You can buy offerings (optional) for the temple at 300 Nepali Rupees. Many touts and guides are awaiting outside the temple-choose prudently, maybe a older person as guide is better option. The priests inside will expect a dakshina (optional) for their services-you may use your discretion. 50 to 100 nepali rupees is ok. More is upto you.... A good place where you can deposit the shoes in bags is also available within the temple premises just before you enter the main temple gate so do not deposit or leave your shoes way outside the temple. 527 Shivalingams are there which are supposedly to be in existance since 13 century-it is said all sins of last lives are forgiven if you walk through the lanes of the Shivalingams... Donations are an optional effect. You may donate at the donation boxes rather than handling out cash.....",4,positive,2011,unknown,likely_tourist,218,True,early_period
118073603,"The temple is very nice, it has very significant value in Hindu religion, it is one of the great place to visit, only Hindu's are allowed to visit this temple, Non-Hindu Tourists can view it from outside only.",4,positive,2011,couples,likely_tourist,38,True,early_period
118139805,"We visited Pashupatinath (Temple of Living Beings) on our second first morning in Kathmandu. This was by far the highlight of our trip to Nepal. Though some people may find the thought of watching cremations disturbing, we found it to be culturally insightful. Non-Hindus are not permitted into the main temple, though there is plenty to see at spots that are accessible. We wandered around the complex for a good portion of the morning, before taking a seat in the shade across the river from the main funeral pyres. We watched from a distance as three bodies were washed, carried to the yak-butter covered stacked wood and then set alight. We then watched the process by which the wood, with the body, is burned down to ashes, following which the entire burning pile is pushed into the river. We then walked across the bridge to be closer to the funeral pyres, and watched as one deceased lady was laid to rest on the wood while her family removed her gold and other items. The smell from the burning bodies is not so bad, though you can hear the body sizzle as you would if you were at a BBQ. It is a good idea, especially if you are standing reasonably close to the funeral pyres, to carry a handkerchief to shield your nose and mouth. If there is a wind the ashes are blown in all directions and you certainly want to try and avoid getting ashes in your lungs. If you really want an insight into life in its purest form then you must visit Pashupatinath for a most fascinating cultural insight the entrance fee of Rs 500 (around USD 6.80) per person is well worth it. This is real life this is not a site staged for tourists it may not be suitable for children, unless they are mature enough to understand what is going on, and it certainly is not a place for people for whom the thought of death is disturbing. With that having been said, I repeat what I said in my opening line this was by far the highlight of our trip to Nepal, presenting an interesting yet somber insight into a culture that has existed for thousands of years.",5,positive,2011,couples,likely_tourist,376,True,early_period
118328488,"We decided to get a guide for this area and we were not disappointed, he was a student but was full of the history and knowledge of this site, it cost us 500 rupees, the entrance fee was 500 rupees per person too. During our visit two cremations were taking place and it was fascinating to hear all about the cremations and the rituals of the family of the deceased. Watch out for the holy men... our guide said you can give however much you wanted to have your picture taken but then one of them said after we had had our pictures taken that it was 100 rupees per holy man and in our case that was 500 rupees as there were 5 of them... needless to say we took plenty more photos to get our monies worth! This is a must visit site when your in Kathmandu.",5,positive,2011,couples,likely_tourist,149,True,early_period
